Treatment,Replicate,Measurement,Hare,Rabbit,Plantspecies,Who,Day
Dune,1,1,2,3,6,Julia/Sharmi,1
Dune,1,2,0,0,5,Julia/Sharmi,1
Dune,1,3,6,2,7,Julia/Sharmi,1
Dune,1,4,0,0,5,Nguyen,1
Dune,1,5,3,2,5,Nguyen,1
Dune,2,1,0,0,7,Julia/Sharmi,1
Dune,2,2,2,1,5,Julia/Sharmi,1
Dune,2,3,0,0,3,Nguyen,1
Dune,2,4,0,2,4,Nguyen,1
Dune,2,5,0,5,5,Nguyen,1
Dune,3,1,1,0,6,Julia/Sharmi,1
Dune,3,2,1,3,6,Julia/Sharmi,1
Dune,3,3,7,4,6,Julia/Sharmi,1
Dune,3,4,0,8,3,Nguyen,1
Dune,3,5,2,6,6,Nguyen,1
Dune,4,1,3,2,8,Nguyen,2
Dune,4,2,4,0,7,Nguyen,2
Dune,4,3,1,0,5,Nguyen,2
Dune,4,4,2,13,5,Julia/Sharmi,2
Dune,4,5,3,2,5,Julia/Sharmi,2
Salt Marsh,1,1,2,0,10,Julia,1
Salt Marsh,1,2,8,1,7,Julia,1
Salt Marsh,1,3,4,0,6,Sharmi,1
Salt Marsh,1,4,5,1,6,Sharmi,1
Salt Marsh,1,5,0,0,9,Nguyen,1
Salt Marsh,2,1,11,1,4,Julia/Sharmi,1
Salt Marsh,2,2,16,0,6,Julia/Sharmi,1
Salt Marsh,2,3,1,0,6,Julia/Sharmi,1
Salt Marsh,2,4,3,2,3,Nguyen,1
Salt Marsh,2,5,8,2,6,Nguyen,1
Salt Marsh,3,1,16,0,7,Julia/Sharmi,1
Salt Marsh,3,2,7,1,6,Julia/Sharmi,1
Salt Marsh,3,3,3,0,5,Julia/Sharmi,1
Salt Marsh,3,4,10,3,5,Julia/Sharmi,1
Salt Marsh,3,5,9,1,8,Julia/Sharmi,1
Salt Marsh,4,1,0,0,4,Nguyen,2
Salt Marsh,4,2,6,0,8,Nguyen,2
Salt Marsh,4,3,2,0,7,Julia/Sharmi,2
Salt Marsh,4,4,3,2,6,Julia/Sharmi,2
Salt Marsh,4,5,2,2,6,Julia/Sharmi,2
Agric. grassland,1,1,0,0,4,Julia/Sharmi,1
Agric. grassland,1,2,0,0,4,Julia/Sharmi,1
Agric. grassland,1,3,0,0,3,Nguyen,1
Agric. grassland,1,4,0,0,3,Nguyen,1
Agric. grassland,1,5,0,0,3,Nguyen,1
Agric. grassland,2,1,0,0,4,Julia/Sharmi,1
Agric. grassland,2,2,0,0,3,Julia/Sharmi,1
Agric. grassland,2,3,0,0,3,Julia/Sharmi,1
Agric. grassland,2,4,0,0,3,Nguyen,1
Agric. grassland,2,5,0,0,5,Nguyen,1
Agric. grassland,3,1,1,0,3,Julia/Sharmi,1
Agric. grassland,3,2,0,0,2,Julia/Sharmi,1
Agric. grassland,3,3,0,0,1,Julia/Sharmi,1
Agric. grassland,3,4,3,0,1,Nguyen,1
Agric. grassland,3,5,0,0,1,Nguyen,1
Agric. grassland,4,1,0,0,1,Nguyen,2
Agric. grassland,4,2,0,0,1,Nguyen,2
Agric. grassland,4,3,0,0,3,Julia/Nguyen,2
Agric. grassland,4,4,0,0,4,Julia/Sharmi,2
Agric. grassland,4,5,0,0,2,Julia/Sharmi,2
